Area	Steal_Burglary	houses	shops	holy_temples	parked_cars	public_transportation	small_burglaries_in_public_places	bag_stealing	others	Automotive_stealing	IXE_cars	IXF_cars_buses	motorcycles	motor_bike	other_vehicles	Robberies	banks	DOY	money_train	taxi_drivers	post_banks	post_distributors	gas_stations	super_markets	mobiles_and_small_amount_of_money	with_bag_stealing	others
North Aegean	12	0	4	0	5	0	0	1	2	11	1	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0
South Aegean	81	12	36	0	10	0	0	3	20	46	4	2	25	15	0	3	0	0	0	0	0	0	0	0	0	0	3
Central Macedonia	128	45	25	1	6	0	3	3	45	96	31	15	37	12	1	4	0	0	0	0	0	0	0	0	0	0	4
Central Greece	224	103	35	11	29	0	1	2	43	67	16	3	30	16	2	10	3	0	0	0	1	0	0	1	0	0	5
Crete	264	57	39	6	42	0	17	44	59	139	15	12	87	23	2	17	0	0	0	0	0	0	1	1	0	1	14
Epirus	69	21	10	0	10	0	1	0	27	34	9	1	11	12	1	2	0	0	0	0	0	0	0	0	0	0	2
West Macedonia	32	18	3	0	1	0	1	0	9	13	5	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Central Macedonia	128	45	25	1	6	0	3	3	45	96	31	15	37	12	1	4	0	0	0	0	0	0	0	0	0	0	4
East Macedonia and Thrace	66	20	10	2	15	0	5	0	14	34	4	13	17	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Ionian Islands	81	42	25	1	4	0	1	0	8	25	5	1	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Peloponnese	304	133	50	5	30	0	3	1	82	59	10	10	29	9	1	17	5	0	1	0	0	0	3	0	2	1	5
West Greece	299	105	54	8	58	0	1	2	71	125	23	7	37	47	11	13	5	0	0	0	0	0	1	1	0	0	6
Central Greece	224	103	35	11	29	0	1	2	43	67	16	3	30	16	2	10	3	0	0	0	1	0	0	1	0	0	5
Thessaly	164	79	30	2	20	0	1	1	31	80	16	5	46	12	1	6	2	0	0	0	0	0	1	0	0	0	3
