Area	Steal_Burglary	houses	shops	holy_temples	parked_cars	public_transportation	small_burglaries_in_public_places	bag_stealing	others	Automotive_stealing	IXE_cars	IXF_cars_buses	motorcycles	motor_bike	other_vehicles	Robberies	banks	DOY	money_train	taxi_drivers	post_banks	post_distributors	gas_stations	super_markets	mobiles_and_small_amount_of_money	with_bag_stealing	others
North Aegean	21	6	9	0	2	0	0	0	4	11	2	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0
South Aegean	79	28	15	1	3	0	0	4	28	31	6	1	15	9	0	4	0	0	0	0	0	0	0	0	0	0	4
Central Macedonia	110	37	28	2	8	0	2	1	32	53	12	9	20	8	4	5	0	0	0	0	0	0	0	1	0	0	4
Central Greece	212	97	34	9	25	0	12	0	35	53	14	10	13	16	0	13	3	0	0	0	2	0	0	0	1	0	7
Crete	260	104	41	10	39	0	11	1	54	128	12	15	82	19	0	13	0	0	0	0	0	0	0	4	0	1	8
Epirus	55	20	15	1	7	0	0	0	12	26	10	2	9	5	0	2	1	0	0	0	0	0	0	1	0	0	0
West Macedonia	36	17	2	1	0	0	0	0	16	5	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1
Central Macedonia	110	37	28	2	8	0	2	1	32	53	12	9	20	8	4	5	0	0	0	0	0	0	0	1	0	0	4
East Macedonia and Thrace	91	40	22	3	2	0	0	3	21	47	9	1	26	11	0	1	0	0	0	0	0	0	0	0	0	0	1
Ionian Islands	76	19	18	1	8	0	5	0	25	12	0	1	8	3	0	2	0	0	0	0	0	0	0	0	0	0	2
Peloponnese	359	135	82	11	49	3	1	1	77	103	41	19	26	16	1	18	1	0	0	1	0	1	0	3	0	0	12
West Greece	512	107	91	9	135	1	1	11	157	93	27	7	37	21	1	13	0	0	0	0	0	1	2	1	0	0	9
Central Greece	212	97	34	9	25	0	12	0	35	53	14	10	13	16	0	13	3	0	0	0	2	0	0	0	1	0	7
Thessaly	79	25	20	3	6	1	3	4	17	40	16	2	16	6	0	3	2	0	0	0	0	0	0	0	0	0	1
