Area	Steal_Burglary	houses	shops	holy_temples	parked_cars	public_transportation	small_burglaries_in_public_places	bag_stealing	others	Automotive_stealing	IXE_cars	IXF_cars_buses	motorcycles	motor_bike	other_vehicles	Robberies	banks	DOY	money_train	taxi_drivers	post_banks	post_distributors	gas_stations	super_markets	mobiles_and_small_amount_of_money	with_bag_stealing	others
North Aegean	13	6	1	3	1	0	0	0	2	4	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1
South Aegean	88	32	9	1	6	0	0	5	35	43	7	0	15	21	0	4	1	0	0	0	0	0	0	0	0	2	1
Central Macedonia	128	42	27	2	8	0	4	3	42	64	15	14	21	13	1	5	0	0	0	0	2	0	1	0	1	0	1
Central Greece	209	86	38	7	28	0	7	2	41	50	19	6	18	4	3	14	8	0	0	0	0	0	1	0	0	0	5
Crete	318	128	25	3	60	0	26	20	56	135	24	20	72	17	2	11	0	0	0	0	0	0	1	1	0	1	8
Epirus	88	26	8	1	13	0	1	0	39	34	10	1	14	9	0	2	1	0	0	0	0	0	0	0	0	0	1
West Macedonia	38	24	1	1	5	0	0	0	7	8	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Central Macedonia	128	42	27	2	8	0	4	3	42	64	15	14	21	13	1	5	0	0	0	0	2	0	1	0	1	0	1
East Macedonia and Thrace	108	41	25	0	4	0	1	2	35	52	9	6	28	9	0	4	1	0	0	0	0	0	0	1	0	0	2
Ionian Islands	84	34	20	1	9	0	4	1	15	26	5	0	14	7	0	1	0	0	0	0	0	0	0	0	0	0	1
Peloponnese	373	176	45	5	51	0	8	1	87	74	13	4	31	26	0	11	3	0	0	0	0	0	1	0	0	0	7
West Greece	481	124	70	3	142	0	1	4	137	98	24	3	39	30	2	12	1	0	0	0	0	1	0	0	0	0	10
Central Greece	209	86	38	7	28	0	7	2	41	50	19	6	18	4	3	14	8	0	0	0	0	0	1	0	0	0	5
Thessaly	126	33	28	5	12	1	1	3	43	76	11	15	36	13	1	3	0	0	0	0	0	0	0	0	0	0	3
