Area	Steal_Burglary	houses	shops	holy_temples	parked_cars	public_transportation	small_burglaries_in_public_places	bag_stealing	others	Automotive_stealing	IXE_cars	IXF_cars_buses	motorcycles	motor_bike	other_vehicles	Robberies	banks	DOY	money_train	taxi_drivers	post_banks	post_distributors	gas_stations	super_markets	mobiles_and_small_amount_of_money	with_bag_stealing	others
North Aegean	7	3	1	1	1	0	0	0	1	8	1	1	4	2	0	1	0	0	0	0	0	0	0	0	0	0	1
South Aegean	67	20	13	3	4	0	0	0	27	45	4	1	31	8	1	4	1	0	0	0	0	0	0	0	0	0	3
Central Macedonia	92	38	22	1	6	0	1	0	24	62	20	12	21	8	1	5	1	0	0	0	0	0	0	0	0	0	4
Central Greece	212	84	44	3	28	0	5	0	48	74	27	6	27	11	3	16	3	0	1	0	2	1	3	1	0	0	5
Crete	289	110	31	9	56	0	17	3	63	144	16	24	86	18	0	19	2	0	0	0	0	0	0	5	0	1	11
Epirus	90	24	16	2	8	0	0	0	40	24	11	1	10	2	0	5	0	0	0	0	0	0	0	1	0	0	4
West Macedonia	50	24	10	0	0	2	0	0	14	8	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Central Macedonia	92	38	22	1	6	0	1	0	24	62	20	12	21	8	1	5	1	0	0	0	0	0	0	0	0	0	4
East Macedonia and Thrace	96	42	19	6	2	0	1	0	26	54	11	3	22	18	0	7	2	0	0	0	0	0	0	0	0	0	5
Ionian Islands	71	28	21	0	5	0	0	0	17	20	4	0	10	6	0	2	0	0	0	0	0	0	0	0	0	0	2
Peloponnese	389	151	53	18	49	2	5	5	106	72	10	13	34	15	0	19	0	0	0	0	2	0	2	2	2	0	11
West Greece	439	107	66	10	109	0	0	2	145	103	20	12	45	23	3	15	0	0	0	0	1	0	2	1	0	0	11
Central Greece	212	84	44	3	28	0	5	0	48	74	27	6	27	11	3	16	3	0	1	0	2	1	3	1	0	0	5
Thessaly	131	57	18	2	17	0	0	2	35	50	13	9	22	6	0	6	0	0	0	0	0	0	0	0	0	0	6
