Area	Steal_Burglary	houses	shops	holy_temples	parked_cars	public_transportation	small_burglaries_in_public_places	bag_stealing	others	Automotive_stealing	IXE_cars	IXF_cars_buses	motorcycles	motor_bike	other_vehicles	Robberies	banks	DOY	money_train	taxi_drivers	post_banks	post_distributors	gas_stations	super_markets	mobiles_and_small_amount_of_money	with_bag_stealing	others
North Aegean	6	3	0	1	1	0	0	0	1	9	2	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
South Aegean	81	17	10	3	26	0	1	3	21	40	3	0	20	16	1	3	0	0	0	0	0	0	0	1	0	0	2
Central Macedonia	91	21	20	1	6	0	1	0	42	63	14	14	27	8	0	5	0	0	0	0	0	0	1	1	0	0	3
Central Greece	236	92	47	8	31	0	11	3	44	60	19	8	17	13	3	11	3	0	0	0	0	0	0	1	0	0	7
Crete	328	112	35	4	42	0	27	29	79	154	21	13	95	22	3	7	0	0	0	0	1	0	1	0	0	0	5
Epirus	69	26	2	1	7	0	0	0	33	13	2	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0
West Macedonia	36	18	6	1	1	0	0	0	10	7	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Central Macedonia	91	21	20	1	6	0	1	0	42	63	14	14	27	8	0	5	0	0	0	0	0	0	1	1	0	0	3
East Macedonia and Thrace	64	26	12	3	3	0	2	2	16	48	9	3	21	14	1	1	0	0	0	0	0	0	0	0	0	0	1
Ionian Islands	105	51	14	3	10	0	2	0	25	26	7	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Peloponnese	369	179	53	2	39	3	1	0	92	63	22	7	17	16	1	18	3	0	0	0	1	0	2	0	0	0	12
West Greece	461	148	62	3	96	1	1	4	146	135	25	13	51	46	0	15	3	0	0	0	1	0	1	1	1	0	8
Central Greece	236	92	47	8	31	0	11	3	44	60	19	8	17	13	3	11	3	0	0	0	0	0	0	1	0	0	7
Thessaly	120	42	18	5	14	1	1	0	39	78	23	9	32	11	3	8	2	0	0	0	0	0	0	1	0	0	5
